key,accuracy,auroc,auroc_flipped,average_precision,tpr@1%fpr,tpr@0.1%fpr,ece,brier,prob_transform,json_path
mean,0.56,0.5424,0.4576,0.531954,0,0,0.220325,0.307888,"minmax[1.1597,4.1699]",results/prompt_entropy/Qwen/Qwen2.5-3B-Instruct_all_keys/mean/prompt_entropy_mean_20260212_132803.json
std,0.32,0.2516,0.7484,0.36415,0,0,0.405809,0.405359,"minmax[0.9063,2.2583]",results/prompt_entropy/Qwen/Qwen2.5-3B-Instruct_all_keys/std/prompt_entropy_std_20260212_132816.json
min,0.54,0.625,0.375,0.580193,0,0,0.441249,0.428013,"minmax[0.0000,2.1875]",results/prompt_entropy/Qwen/Qwen2.5-3B-Instruct_all_keys/min/prompt_entropy_min_20260212_132828.json
max,0.25,0.1732,0.8268,0.348634,0,0,0.515,0.486412,"minmax[3.3750,8.0625]",results/prompt_entropy/Qwen/Qwen2.5-3B-Instruct_all_keys/max/prompt_entropy_max_20260212_132839.json
median,0.6,0.6048,0.3952,0.598238,0,0,0.102913,0.259855,"minmax[0.4922,3.8047]",results/prompt_entropy/Qwen/Qwen2.5-3B-Instruct_all_keys/median/prompt_entropy_median_20260212_132850.json
p10,0.66,0.6492,0.3508,0.602419,0,0,0.352401,0.350826,"minmax[0.0040,2.8328]",results/prompt_entropy/Qwen/Qwen2.5-3B-Instruct_all_keys/p10/prompt_entropy_p10_20260212_132900.json
p90,0.46,0.4252,0.5748,0.428051,0,0,0.305508,0.325887,"minmax[2.0000,6.6719]",results/prompt_entropy/Qwen/Qwen2.5-3B-Instruct_all_keys/p90/prompt_entropy_p90_20260212_132911.json
trimmed_mean,0.58,0.6044,0.3956,0.577985,0,0,0.136621,0.266742,"minmax[0.6810,4.1699]",results/prompt_entropy/Qwen/Qwen2.5-3B-Instruct_all_keys/trimmed_mean/prompt_entropy_trimmed_mean_20260212_132923.json
first_mean,0.36,0.3058,0.6942,0.389624,0,0,0.2869,0.352269,"minmax[0.2529,5.4258]",results/prompt_entropy/Qwen/Qwen2.5-3B-Instruct_all_keys/first_mean/prompt_entropy_first_mean_20260212_132934.json
last_mean,0.68,0.755,0.245,0.723681,0.04,0.04,0.167835,0.236905,"minmax[0.1733,5.0938]",results/prompt_entropy/Qwen/Qwen2.5-3B-Instruct_all_keys/last_mean/prompt_entropy_last_mean_20260212_132945.json
auc,0.32,0.2296,0.7704,0.359268,0,0,0.371315,0.394606,"minmax[10.9958,68.0614]",results/prompt_entropy/Qwen/Qwen2.5-3B-Instruct_all_keys/auc/prompt_entropy_auc_20260212_132956.json
slope,0.7,0.7972,0.2028,0.825832,0.34,0.34,0.143297,0.21778,"minmax[-0.4524,0.6319]",results/prompt_entropy/Qwen/Qwen2.5-3B-Instruct_all_keys/slope/prompt_entropy_slope_20260212_133008.json
frac_above_q,0.56,0.5674,0.4326,0.569861,0,0,0.175248,0.318446,"minmax[0.1000,0.1818]",results/prompt_entropy/Qwen/Qwen2.5-3B-Instruct_all_keys/frac_above_q/prompt_entropy_frac_above_q_20260212_133020.json
range,0.2,0.1508,0.8492,0.33955,0,0,0.508977,0.494424,"minmax[3.2168,7.8789]",results/prompt_entropy/Qwen/Qwen2.5-3B-Instruct_all_keys/range/prompt_entropy_range_20260212_133031.json
